StartField1, StartField2, StartField3, StartField4, TimeStamp, BlockIndex, TrialIndex, TrialInBlock, Instructional, 2D, Scene, Enclosure, PositionX, PositionY, PositionZ, RotationY, Collision, GoalX, GoalZ, LastX, LastZ, UpArrow, DownArrow, LeftArrow, RightArrow, Space
15, , , , 09/26/2024 06:13:14.687 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.548, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:14.716 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.54992, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:14.760 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.5499969, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:14.802 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.5499999, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:14.836 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:14.871 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:14.908 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:14.946 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:14.979 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:15.019 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:15.057 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:15.094 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:15.131 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:15.169 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
15, , , , 09/26/2024 06:13:15.208 PM, 1, 1, 1, 0, 0, 3, 0, -1, 0.55, 0.6, 270, 0, -0.95, -14.42, 0, 0, 0, 0, 0, 0, 0
